newsTitle,timestamp,url_source,content,source,author,urlToImage
Ukraine war: Can we expect peace talks to begin?,2022-12-02T15:34:09Z,https://www.bbc.co.uk/news/world-europe-63838215,"What does it mean when US President Joe Biden says he's willing to sit down with Vladimir Putin ""to see what he has in mind""; or when German Chancellor Olaf Scholz conducts an hour-long phone call wi","{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://ichef.bbci.co.uk/news/1024/branded_news/108D4/production/_127869776_annotation2022-12-02152047.png
Ukraine war: EU set to approve cap on price of Russian oil,2022-12-02T17:41:54Z,https://www.bbc.co.uk/news/world-europe-63840412,The European Union looks set to approve a cap on the price of Russian oil after Poland gave its backing,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,https://ichef.bbci.co.uk/news/1024/branded_news/08B3/production/_127872220_gettyimages-1239069485.jpg
Russia's war on Ukraine latest news: Russian troops pull back near Kherson - Reuters,2022-12-01T18:35:00Z,https://www.reuters.com/world/europe/russias-war-ukraine-latest-news-russian-troops-pull-back-near-kherson-2022-12-01/,"Dec 1 (Reuters) - Ukraine's military said Russia had pulled some troops from towns on the opposite bank of the Dnipro River from Kherson city, the first official Ukrainian report of a Russian withdra","{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/dqcXKPXdKI3ajtE-H4Lv1kLPmKI=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/MZK4AJDHZZJ27B5EFRKEIY6SSU.jpg
"Biden, Macron resolve to hold Russia accountable for atrocities, war crimes in Ukraine - Reuters",2022-12-01T18:32:00Z,https://www.reuters.com/world/europe/biden-macron-resolve-hold-russia-accountable-atrocities-war-crimes-ukraine-2022-12-01/,"WASHINGTON, Dec 1 (Reuters) - U.S","{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/8wLRo0vDzvDOQU2-G1DoAd1mxP8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NPQHTNHHONJFDLSRI2J4JS6T5A.jpg
Biden's offer to talk to Putin is a trial balloon to end war in Ukraine - Reuters,2022-12-02T17:17:00Z,https://www.reuters.com/world/bidens-offer-talk-putin-is-trial-balloon-end-war-ukraine-2022-12-02/,"WASHINGTON, Dec 2 (Reuters) - President Joe Biden has floated a trial balloon to President Vladimir Putin to determine whether Russia, after months of battlefield losses and stalled gains, is ready t","{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/IjLLeh7y7mIBzsHoopvygyHtcQg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/WV6FNACFOVPYHOCUBQ7X3ZJNHM.jpg
Lavrov says Ukraine war affects prospects for nuclear talks - Reuters,2022-12-01T11:20:00Z,https://www.reuters.com/world/europe/lavrov-says-ukraine-war-affects-prospects-nuclear-talks-2022-12-01/,Dec 1 (Reuters) - Russian Foreign Minister Sergei Lavrov said on Thursday that Moscow was willing to play a responsible part in nuclear arms control but it was impossible to discuss nuclear stability,"{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/v3V_p6UFsRJYjorzLRwyVYOXfec=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/43ORN43GBJOSNCQIMWLC7HEAPA.jpg
"Japan will use G7, UN roles to pressure Russia on Ukraine - foreign minister - Reuters",2022-12-01T16:43:00Z,https://www.reuters.com/world/japan-will-use-g7-un-roles-pressure-russia-ukraine-foreign-minister-2022-12-01/,"TOKYO, Dec 2 (Reuters) - Japan will use its turn next year in leadership roles at the Group of Seven and the United Nations to pressure Russia to halt its war in Ukraine, Japanese Minister of Foreign","{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/RUgsVJUkwvZZXLCXKQ5I-Q4jMw4=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NVRHGK2Z7BNTTMWDVL7VJ2O3PU.jpg
Ukraine hands 50 prisoners over to Russia in POW exchange - Reuters,2022-12-01T15:21:00Z,https://www.reuters.com/world/europe/ukraine-hands-50-prisoners-over-russia-pow-exchange-2022-12-01/,Dec 1 (Reuters) - Russia's Defence Ministry and the head of Ukraine's presidential administration said the two countries had swapped 50 service personnel on Thursday in the latest prisoner exchange b,"{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/zYT2g0LIT3YfgWRz3Fv22MhE3Rg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/QY3CYPJJTJJOJJN2UZZVZCH2K4.jpg
Russia condemns German parliament for declaring Ukraine Soviet-era famine a genocide - Reuters,2022-12-01T07:42:00Z,https://www.reuters.com/world/europe/russia-condemns-german-parliament-declaring-ukraine-soviet-era-famine-genocide-2022-12-01/,Dec 1 (Reuters) - Russia said on Thursday the German parliament's move to recognise the 1932-33 famine in Ukraine as a Soviet-imposed genocide was an anti-Russian provocation and an attempt by German,"{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/T18Pf3rUhKZplLN2C6PEmFowo18=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/J7F7BVB67BOOBPZT62HZ5OLEY4.jpg
Kremlin says EU plans for war crimes tribunal are illegitimate - Reuters,2022-12-01T10:26:00Z,https://www.reuters.com/world/europe/kremlin-says-eu-plans-war-crimes-tribunal-are-illegitimate-2022-12-01/,"Dec 1 (Reuters) - The Kremlin on Thursday condemned the European Union's calls to hold a war crimes tribunal over Russia's actions in Ukraine, saying any body would be illegitimate and unacceptable t","{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/VHqCrOxEF2svEUIGDTvjXpG0oTA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FQALNGZU75LLBC74HUYVDPBKOI.jpg
