newsTitle,timestamp,url_source,content,source,author,urlToImage
Explainer: India G20 presidency 2023: what does it mean and what can we expect - Reuters India,2022-12-02T07:10:00Z,https://www.reuters.com/world/india/india-g20-presidency-2023-what-does-it-mean-what-can-we-expect-2022-12-02/,"NEW DELHI, Dec 2 (Reuters) - India began its year-long presidency of the Group of 20 (G20) this week, taking over from Indonesia at a time of geopolitical tumult and uncertainty over post-pandemic ec","{'id': 'reuters', 'name': 'Reuters'}",,https://www.reuters.com/resizer/1CyuikYm5m07QiN4DaYE4hBV5O8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/LNYUK2J2KZMAJCHPDHVP3EE5RQ.jpg
What to expect as India assumes G20 presidency for 2023,2022-12-02T08:33:46Z,https://www.aljazeera.com/news/2022/12/2/what-to-expect-as-india-assumes-g20-presidency-for-2023,"India has begun its yearlong presidency of the Group of 20 (G20), taking over from Indonesia at a time of geopolitical tumult and uncertainty over post-pandemic economic recovery","{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Al Jazeera,https://www.aljazeera.com/wp-content/uploads/2022/12/2022-11-16T075148Z_306279073_RC2VMX9T1CNS_RTRMADP_3_G20-SUMMIT-CLOSING.jpg?resize=1920%2C1440
India’s G20 Presidency: Delhi’s opportunity,2022-12-02T00:17:50Z,https://indianexpress.com/article/opinion/editorials/indias-g20-presidency-delhis-opportunity-8301285/,"India’s presidency of the G20, which began December 1, comes in a fraught moment. At the Bali summit, the divisions in the world over the war in Ukraine were apparent","{'id': None, 'name': 'The Indian Express'}",Editorial,https://images.indianexpress.com/2022/12/edit.jpg
War Over Taiwan?,2022-12-02T10:40:32Z,https://www.project-syndicate.org/commentary/war-over-taiwan-us-china-relationship-by-joseph-s-nye-2022-12,"For five decades, both China and the US benefited from the time they had bought on the question of the islands status","{'id': None, 'name': 'Project Syndicate'}","Joseph S. Nye, Jr.",https://webapi.project-syndicate.org/library/dd22d5ed0ab20efb714a6ab9e7320486.2-1-super.1.jpg
Exclusive: Narendra Modi calls on Vladimir Putin to stop weaponising food supplies,2022-12-01T07:59:13Z,https://www.telegraph.co.uk/world-news/2022/11/30/narendra-modi-calls-vladimir-putin-stop-weaponising-food-supplies/,"Narendra Modi has hit out at Vladimir Putin with a call to end the war in Ukraine and stop weaponising food supplies, as India takes over the G20 presidency for the year","{'id': None, 'name': 'Telegraph.co.uk'}",Rozina Sabur,https://www.telegraph.co.uk/content/dam/world-news/2022/11/30/TELEMMGLPICT000317279184_trans_NvBQzQNjv4BqVE393u8sYrgnVm35grGgLCaE3to-BcF-tkIlxyXusTg.jpeg?impolicy=logo-overlay
"As G20 President, Can India Advance Its Multipolar Worldview?",2022-12-02T01:28:08Z,https://thediplomat.com/2022/12/as-g20-president-can-india-advance-its-multipolar-worldview/,"Advertisement
Days after the G-20 summit in Bali, which marked the end of the Indonesian presidency and heralded the groups Indian leadership for the new term beginning in December, Indian Prime Min","{'id': None, 'name': 'The Diplomat'}",Shannon,https://thediplomat.com/wp-content/uploads/2022/12/sizes/td-story-s-2/thediplomat_2022-12-01-185520.jpg
Explainer: India G20 presidency 2023: What does it mean and what can we expect,2022-12-02T07:19:40Z,https://www.moneycontrol.com/news/india/explainer-india-g20-presidency-2023-what-does-it-mean-and-what-can-we-expect-9638931.html,"India began its year-long presidency of the Group of 20 (G20) this week, taking over from Indonesia at a time of geopolitical tumult and uncertainty over post-pandemic economic recovery","{'id': None, 'name': 'Moneycontrol'}",Reuters,https://images.moneycontrol.com/static-mcnews/2022/12/13-india-g20-presidnecy-2023-G20-explainer-770x433.jpg
India#39;s G20 presidency will be #39;watershed moment#39; in its history: Ambassador Ruchira Kamboj,2022-12-02T04:51:22Z,https://www.moneycontrol.com/news/india/indias-g20-presidency-will-be-watershed-moment-in-its-history-ambassador-ruchira-kamboj-9637991.html,"India's presidency of the G20 will be a 'watershed moment' in its history as the country seeks to play an important role in finding pragmatic global solutions for the well-being of all, India's Perma","{'id': None, 'name': 'Moneycontrol'}",PTI,https://images.moneycontrol.com/static-mcnews/2022/09/india-s-permanent-representative-ruchira-kamboj-1429072-619x435.png
Explainer-India G20 Presidency 2023: What Does It Mean And What Can We Expect,2022-12-02T07:15:34Z,https://www.ibtimes.com/explainer-india-g20-presidency-2023-what-does-it-mean-what-can-we-expect-3642811,"India's Prime Minister Narendra Modi walks after the handover ceremony during the G20 Leaders' Summit, in Nusa Dua, Bali, Indonesia, November 16, 2022","{'id': None, 'name': 'International Business Times'}",Devjyot Ghoshal,https://d.ibtimes.com/en/full/4389790/g20-summit-bali.jpg
"India Backs Russia’s G20 Participation, Rejects West's Call for Boycott",2022-12-01T13:34:41Z,https://sputniknews.com/20221201/india-backs-russias-g20-participation-rejects-wests-call-for-boycott--1104937476.html,It is an important grouping. It works on the important principle of consensus,"{'id': None, 'name': 'Sputnik International'}",Dhairya Maheshwari,https://cdnn1.img.sputniknews.com/images/sharing/article/eng/1104937476.jpg?11049382881669901682
G20 not a ‘magic forum’ to solve the war in Ukraine: US diplomat - Hindustan Times,2022-12-02T16:26:26Z,https://www.hindustantimes.com/world-news/g20-not-a-magic-forum-to-solve-the-war-in-ukraine-us-diplomat-101669998387327.html,"New Delhi:The G20 is not a magic forum for finding a solution to the Ukraine war, though the crisis triggered by the Russian invasion is not solely a European problem since it has implications for fo","{'id': None, 'name': 'Hindustan Times'}",Rezaul H Laskar,https://images.hindustantimes.com/img/2022/12/02/1600x900/d013c96c-725c-11ed-bd01-73668e446825_1669998375723.jpg
